Acc. No.,Title of the Book,SubTitle,Author,Subject,Edition/Year,Ref,Pages,Call no.,Medium,Level,ISBN No.,Publisher's Name,Publisher's address,Purchase Details,Price,Remarks
89,WHAT MUST BE KNOWN ABOUT ISLAM,,ASSHAIK MUHAMMAD IBNU ALI ALARFAJ,Islamic Studies,2009,,312(Icon),243,English / Arabic,General,,DARUL HUDA,"#211(102), 1st FLOOR, LINGHI CHETTY ST., MANNADY, CHENNAI - 600001, S. INDIA",-NA-,80,
90,RASEELEE KAHANIYAN (HINDI),,DAKSHINA BHARAT HINDI PRACHAR SABHA,Hindi,2001,,88(Icon),4H8.6,Hindi,General,,DAKSHINA BHARAT HINDI PRACHAR SABHA,MADRAS - 17,-NA-,12.25,
91,FORTY HADEETH ON : THE ISLAMIC PERSONALITY,,SHEIKH ALEE HASAN ALEE ABDUL HAMEED,Islamic Studies,,Ref,26(Icon),210,English,General,,AHYA CALL & GUIDANCE CENTER,"N.S.W.A., MILLAT NAGAR, ANDHERI (WEST), MUMBAI - 400053",-NA-,,
92,MUHUMMED (Peace Be Upon Him) : THE NATURAL SUCCESSOR TO CHRIST (PBUH),,AHMED DEEDAT,Islamic Studies,,Ref,71(Icon),210,English,General,9788172310493,ISLAMIC BOOK SERVICE,"2241, KUCHA CHELAN, DARYA GANJ, NEW DELHI - 110002 (INDIA)",-NA-,12,
93,SIMILARITIES BETWEEN HINDUISM AND ISLAM,,DR. ZAKIR NAIK,Islamic Studies,1994,,iii+101,210,English,General,,DISCOVER ISLAAM,"NO.63, 1ST FLOOR, 8TH F MAIN, 3RD BLOCK, JAYANAGAR, BANGALORE - 560011",-NA-,40,
94,MUKKIYAP PADALKALIN VIRIVURAI (TAMIL),TAMIL - 232,THE CO-OPERATIVE OFFICE FOR CALL & FOREIGNERS GUIDANCE AT SULTANAH,Islamic Studies,2001,,72(Icon),210,Tamil,General,,THE CO-OPERATIVE OFFICE FOR CALL & FOREIGNERS GUIDANCE AT SULTANAH,"P.O.BOX 92675 RIYADH 11663 - AL-SWAIDI STR, K.S.A.",-NA-,,
95,MUKKIYAP PADALKALIN VIRIVURAI (TAMIL),TAMIL - 232,THE CO-OPERATIVE OFFICE FOR CALL & FOREIGNERS GUIDANCE AT SULTANAH,Islamic Studies,2001,,72(Icon),210,Tamil,General,,THE CO-OPERATIVE OFFICE FOR CALL & FOREIGNERS GUIDANCE AT SULTANAH,"P.O.BOX 92675 RIYADH 11663 - AL-SWAIDI STR, K.S.A.",-NA-,,
96,ATHISAYA PIRAVI EASU KADAVULAGA MUDIYUMA? (TAMIL),,DARUL HUDA,Islamic Studies,,Ref,63,210,Arabic / Tamil,General,,"DARUL HUDA,","(QUALITY ISLAMIC BOOK PUBLISHERS) 211/102, LINGHI STREET, I FLOOR, MANNADY, CHENNAI - 600001. INDIA",-NA-,,
97,WHAT WAS THE SIGN OF JONAH,,AHMED DEEDAT,Islamic Studies,,Ref,12,210,English,General,8172310269,ISLAMIC BOOK SERVICE,"2241, KUCHA CHELAN, DARYA GANJ, NEW DELHI - 110002 (INDIA)",-NA-,,
98,THE WAY OF SALVATION,,SCRIPTURE GIFT MISSION,Islamic Studies,,Ref,22(Icon),510,English,General,,SCRIPTURE GIFT MISSION,"PO BOX 5316, 18/1 INFANTRY ROAD, BANGALORE - 560001",-NA-,10,
